game,ply,move_number,side,fen_before,played_move,played_uci,best_uci,best_san,best_score_cp,after_score_cp,loss_cp,phase,is_capture,mate_event
199,98,49,Black,2r3r1/2k1Q3/pn1p4/2p5/2P4P/1P6/P6K/8 b - - 1 49,Nd7,b6d7,b6d7,Nd7,636,681,0,endgame,False,False
199,99,50,White,2r3r1/2knQ3/p2p4/2p5/2P4P/1P6/P6K/8 w - - 2 50,Kh3,h2h3,e7e1,Qe1,-600,-725,125,endgame,False,False
199,100,50,Black,2r3r1/2knQ3/p2p4/2p5/2P4P/1P5K/P7/8 b - - 3 50,Rce8,c8e8,g8e8,Rge8,688,697,0,endgame,False,False
199,101,51,White,4r1r1/2knQ3/p2p4/2p5/2P4P/1P5K/P7/8 w - - 4 51,Qf7,e7f7,e7h7,Qh7,-697,-705,8,endgame,False,False
199,102,51,Black,4r1r1/2kn1Q2/p2p4/2p5/2P4P/1P5K/P7/8 b - - 5 51,Ref8,e8f8,e8e3,Re3+,705,601,104,endgame,False,False
199,103,52,White,5rr1/2kn1Q2/p2p4/2p5/2P4P/1P5K/P7/8 w - - 6 52,Qd5,f7d5,f7d5,Qd5,-587,-812,225,endgame,False,False
199,104,52,Black,5rr1/2kn4/p2p4/2pQ4/2P4P/1P5K/P7/8 b - - 7 52,Ne5,d7e5,g8g7,Rg7,722,724,0,endgame,False,False
199,105,53,White,5rr1/2k5/p2p4/2pQn3/2P4P/1P5K/P7/8 w - - 8 53,a4,a2a4,b3b4,b4,-594,-807,213,endgame,False,False
199,106,53,Black,5rr1/2k5/p2p4/2pQn3/P1P4P/1P5K/8/8 b - - 0 53,Rf3+,f8f3,e5c6,Nc6,771,705,66,endgame,False,False
199,107,54,White,6r1/2k5/p2p4/2pQn3/P1P4P/1P3r1K/8/8 w - - 1 54,Kh2,h3h2,h3h2,Kh2,-705,-729,24,endgame,False,False
199,108,54,Black,6r1/2k5/p2p4/2pQn3/P1P4P/1P3r2/7K/8 b - - 2 54,Rg4,g8g4,g8f8,Rgf8,729,832,0,endgame,False,False
199,109,55,White,8/2k5/p2p4/2pQn3/P1P3rP/1P3r2/7K/8 w - - 3 55,h5,h4h5,h4h5,h5,-759,-940,181,endgame,False,False
199,110,55,Black,8/2k5/p2p4/2pQn2P/P1P3r1/1P3r2/7K/8 b - - 0 55,Rf5,f3f5,f3b3,Rxb3,940,914,26,endgame,False,False
199,111,56,White,8/2k5/p2p4/2pQnr1P/P1P3r1/1P6/7K/8 w - - 1 56,Kh3,h2h3,d5e5,Qxe5,-963,-1000,37,endgame,False,True
199,112,56,Black,8/2k5/p2p4/2pQnr1P/P1P3r1/1P5K/8/8 b - - 2 56,Rxh5#,f5h5,f5h5,Rxh5#,1000,-1000,2000,endgame,True,True
200,1,1,White,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e4,e2e4,e2e4,e4,20,24,0,opening,False,False
200,2,1,Black,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,c5,c7c5,e7e5,e5,-24,-30,6,opening,False,False
200,3,2,White,rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,f4,f2f4,g1f3,Nf3,30,-16,46,opening,False,False
200,4,2,Black,rnbqkbnr/pp1ppppp/8/2p5/4PP2/8/PPPP2PP/RNBQKBNR b KQkq - 0 2,Nc6,b8c6,b8c6,Nc6,16,10,6,opening,False,False
200,5,3,White,r1bqkbnr/pp1ppppp/2n5/2p5/4PP2/8/PPPP2PP/RNBQKBNR w KQkq - 1 3,Nf3,g1f3,d2d3,d3,-7,-16,9,opening,False,False
200,6,3,Black,r1bqkbnr/pp1ppppp/2n5/2p5/4PP2/5N2/PPPP2PP/RNBQKB1R b KQkq - 2 3,g6,g7g6,e7e6,e6,18,-10,28,opening,False,False
200,7,4,White,r1bqkbnr/pp1ppp1p/2n3p1/2p5/4PP2/5N2/PPPP2PP/RNBQKB1R w KQkq - 0 4,c3,c2c3,f1b5,Bb5,13,-11,24,opening,False,False
200,8,4,Black,r1bqkbnr/pp1ppp1p/2n3p1/2p5/4PP2/2P2N2/PP1P2PP/RNBQKB1R b KQkq - 0 4,e6,e7e6,d7d5,d5,11,-19,30,opening,False,False
200,9,5,White,r1bqkbnr/pp1p1p1p/2n1p1p1/2p5/4PP2/2P2N2/PP1P2PP/RNBQKB1R w KQkq - 0 5,d3,d2d3,d2d4,d4,19,29,0,opening,False,False
200,10,5,Black,r1bqkbnr/pp1p1p1p/2n1p1p1/2p5/4PP2/2PP1N2/PP4PP/RNBQKB1R b KQkq - 0 5,Bg7,f8g7,b7b6,b6,-29,-19,0,opening,False,False
200,11,6,White,r1bqk1nr/pp1p1pbp/2n1p1p1/2p5/4PP2/2PP1N2/PP4PP/RNBQKB1R w KQkq - 1 6,Be2,f1e2,f1e2,Be2,17,17,0,opening,False,False
200,12,6,Black,r1bqk1nr/pp1p1pbp/2n1p1p1/2p5/4PP2/2PP1N2/PP2B1PP/RNBQK2R b KQkq - 2 6,d6,d7d6,g8e7,Nge7,-17,-7,0,opening,False,False
200,13,7,White,r1bqk1nr/pp3pbp/2npp1p1/2p5/4PP2/2PP1N2/PP2B1PP/RNBQK2R w KQkq - 0 7,h4,h2h4,b1d2,Nbd2,6,-52,58,opening,False,False
200,14,7,Black,r1bqk1nr/pp3pbp/2npp1p1/2p5/4PP1P/2PP1N2/PP2B1P1/RNBQK2R b KQkq - 0 7,h5,h7h5,g8f6,Nf6,58,19,39,opening,False,False
200,15,8,White,r1bqk1nr/pp3pb1/2npp1p1/2p4p/4PP1P/2PP1N2/PP2B1P1/RNBQK2R w KQkq - 0 8,Ng5,f3g5,f3g5,Ng5,-19,-19,0,opening,False,False
